"Jahr","Saison","Bern_Mitteltemperatur","Bern_Niederschlagssumme","GrStBernhard_Mitteltemperatur","GrStBernhard_Niederschlagssumme"
1933,"Winter(DJF)",-2.1,72.3,-9.8,342.5
1934,"Fruehling(MAM)",9.63333333333333,122.3,-1.93333333333333,564.6
1934,"Herbst(SON)",8.7,194,0.3,568.2
1934,"Sommer(JJA)",16.9666666666667,421.2,6.26666666666667,479.3
1934,"Winter(DJF)",0.933333333333333,113.2,-6.16666666666667,470.3
1935,"Fruehling(MAM)",7.26666666666667,265.6,-5.1,671.3
1935,"Herbst(SON)",9.3,342.6,0.0666666666666667,790.5
1935,"Sommer(JJA)",17.6,318.7,6.9,410
1935,"Winter(DJF)",-0.4,290.3,-9.7,891.1
1936,"Fruehling(MAM)",8.8,283.8,-3.2,643.9
1936,"Herbst(SON)",7.56666666666667,288.7,-1.46666666666667,613.1
1936,"Sommer(JJA)",16.0333333333333,418.9,5.53333333333333,309.3
1936,"Winter(DJF)",2.06666666666667,229.2,-7.1,831.9
1937,"Fruehling(MAM)",8.5,362.5,-3.93333333333333,707.4
1937,"Herbst(SON)",8.03333333333333,192.3,-0.233333333333333,684.7
1937,"Sommer(JJA)",17.3,328,6.3,371.4
1937,"Winter(DJF)",1.26666666666667,248.8,-7.7,776.3
1938,"Fruehling(MAM)",7.83333333333333,141.8,-3.46666666666667,353.7
1938,"Herbst(SON)",9.4,189.7,1.36666666666667,490.9
1938,"Sommer(JJA)",16.8666666666667,556.7,6.5,519.1
1938,"Winter(DJF)",-0.533333333333333,129.8,-8.26666666666667,563.6
1939,"Fruehling(MAM)",6.83333333333333,327.7,-4.96666666666667,839.2
1939,"Herbst(SON)",8.73333333333333,348.9,-0.366666666666667,705.2
1939,"Sommer(JJA)",16.2333333333333,323,5.66666666666667,433.3
1939,"Winter(DJF)",0.1,109.3,-7.46666666666667,513.1
1940,"Fruehling(MAM)",8.36666666666667,229.5,-3.4,668.5
1940,"Herbst(SON)",8.86666666666667,407.6,-0.366666666666667,745.9
1940,"Sommer(JJA)",15.4666666666667,401.9,5.03333333333333,500.9
1940,"Winter(DJF)",-2.9,106.8,-9.13333333333333,615.2
1941,"Fruehling(MAM)",6.7,278.6,-4.5,726.7
1941,"Herbst(SON)",7.7,100.1,-1.16666666666667,471.7
1941,"Sommer(JJA)",16.8333333333333,327.2,5.7,441.8
1941,"Winter(DJF)",-1,86.9,-8.66666666666667,561.2
1942,"Fruehling(MAM)",8.43333333333333,188.6,-2,460.1
1942,"Herbst(SON)",9.23333333333333,209,1.06666666666667,552
1942,"Sommer(JJA)",16.8666666666667,297.8,6.7,400.6
1942,"Winter(DJF)",-3.06666666666667,95.1,-10.1,442.4
1943,"Fruehling(MAM)",9.7,179.7,-1.33333333333333,554.4
1943,"Herbst(SON)",8.96666666666667,201.4,0.366666666666667,464.6
1943,"Sommer(JJA)",17.2,301.9,6.86666666666667,368.6
1943,"Winter(DJF)",0.433333333333333,107.9,-7.3,592.8
1944,"Fruehling(MAM)",8,103.1,-3.4,341.6
1944,"Herbst(SON)",7.76666666666667,396.1,-1.73333333333333,1035.7
1944,"Sommer(JJA)",17.3666666666667,334.6,6.6,455.2
1944,"Winter(DJF)",-1.03333333333333,181.9,-8.86666666666667,520.5
1945,"Fruehling(MAM)",10.2,192.5,-1.13333333333333,441.9
1945,"Herbst(SON)",8.13333333333333,143.1,0.0666666666666665,361.4
1945,"Sommer(JJA)",18.0333333333333,278.9,7.26666666666667,411.4
1945,"Winter(DJF)",-1.06666666666667,138.5,-8.73333333333333,755.6
1946,"Fruehling(MAM)",9.66666666666667,177.5,-1.66666666666667,367.6
1946,"Herbst(SON)",8.23333333333333,203,0.566666666666667,247.2
1946,"Sommer(JJA)",16.5666666666667,473.1,6.13333333333333,537.3
1946,"Winter(DJF)",-0.333333333333333,117.6,-8.93333333333333,641.1
1947,"Fruehling(MAM)",10.1,201.6,-0.866666666666667,709.5
1947,"Herbst(SON)",10.7333333333333,161,1.76666666666667,524.5
1947,"Sommer(JJA)",19.7333333333333,177.3,8.8,259.9
1947,"Winter(DJF)",-1.2,132.9,-9.8,502.7
1948,"Fruehling(MAM)",10.3666666666667,139.6,-1.03333333333333,481.8
1948,"Herbst(SON)",8.86666666666667,158.5,2.2,332.4
1948,"Sommer(JJA)",15.8,455.2,4.86666666666667,591.5
1948,"Winter(DJF)",1.43333333333333,190.8,-6.96666666666667,427.1
1949,"Fruehling(MAM)",8.43333333333333,241.5,-2.7,480.2
1949,"Herbst(SON)",10.5666666666667,148.2,0.766666666666667,441.5
1949,"Sommer(JJA)",18.3,131.5,7.1,266.2
1949,"Winter(DJF)",1.06666666666667,111.6,-5.73333333333333,219
1950,"Fruehling(MAM)",8.93333333333333,252.6,-2.66666666666667,380.5
1950,"Herbst(SON)",9,431.1,-0.4,560.2
1950,"Sommer(JJA)",18.8333333333333,298,8.2,279
1950,"Winter(DJF)",0.266666666666667,140.1,-8.46666666666667,471.5
1951,"Fruehling(MAM)",7.86666666666667,296.8,-4.6,490.5
1951,"Herbst(SON)",9.33333333333333,236.5,0.1,607.9
1951,"Sommer(JJA)",16.7666666666667,408.8,5.83333333333333,513.1
1951,"Winter(DJF)",0.833333333333333,235.8,-8,483.3
1952,"Fruehling(MAM)",9.83333333333333,236.3,-1.76666666666667,494.5
1952,"Herbst(SON)",7.43333333333333,454.8,-2.9,726.3
1952,"Sommer(JJA)",18.9666666666667,267.9,7.96666666666667,287.5
1952,"Winter(DJF)",-0.7,275.1,-9.63333333333333,566.7
1953,"Fruehling(MAM)",9.7,164.8,-2.03333333333333,371.2
1953,"Herbst(SON)",9,160.5,1.46666666666667,518.2
1953,"Sommer(JJA)",16.6666666666667,326.8,5.43333333333333,561.2
1953,"Winter(DJF)",-0.833333333333333,76.6,-8.3,206
1954,"Fruehling(MAM)",8.2,151.6,-3.73333333333333,523.9
1954,"Herbst(SON)",9.53333333333333,307.7,0.366666666666667,416.1
1954,"Sommer(JJA)",15.9333333333333,415.4,4.56666666666667,525.2
1954,"Winter(DJF)",-0.433333333333333,256.9,-8.6,495.9
1955,"Fruehling(MAM)",7.53333333333333,178.6,-3.53333333333333,312.2
1955,"Herbst(SON)",7.56666666666667,110.4,-0.566666666666667,240
1955,"Sommer(JJA)",16.3,436.5,5.43333333333333,497
1955,"Winter(DJF)",1.33333333333333,364.2,-7,938.6
1956,"Fruehling(MAM)",7.93333333333333,245.2,-4.03333333333333,594.6
1956,"Herbst(SON)",7.83333333333333,219.8,-0.6,382.6
1956,"Sommer(JJA)",15.1,460.1,4.93333333333333,509.9
1956,"Winter(DJF)",-2.5,118.6,-9.96666666666667,332.3
1957,"Fruehling(MAM)",8.76666666666667,141.9,-2.2,423.1
1957,"Herbst(SON)",8.36666666666667,203.7,0.933333333333333,312
1957,"Sommer(JJA)",16.6333333333333,352.8,5.96666666666667,545
1957,"Winter(DJF)",0.166666666666667,226.4,-7,477.6
1958,"Fruehling(MAM)",7.23333333333333,228.1,-4.16666666666667,599.8
1958,"Herbst(SON)",9.16666666666667,215.7,0.9,498
1958,"Sommer(JJA)",16.9,407.1,6.4,457.1
1958,"Winter(DJF)",1.36666666666667,251.8,-7.1,884.6
1959,"Fruehling(MAM)",10.1333333333333,272.1,-2.43333333333333,589.5
1959,"Herbst(SON)",8.83333333333333,161.4,-0.0333333333333333,355.3
1959,"Sommer(JJA)",18.1333333333333,236.5,6.36666666666667,313.3
1959,"Winter(DJF)",1.1,244.3,-7.26666666666667,532.2
1960,"Fruehling(MAM)",9.6,175.2,-2.93333333333333,436.3
1960,"Herbst(SON)",8.7,348.4,-1.03333333333333,930.8
1960,"Sommer(JJA)",16.6666666666667,366.8,5.2,553.3
1960,"Winter(DJF)",0.533333333333333,180,-7.23333333333333,516.3
